Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Hexachloroethane,67-72-1,"Solvent, combustion retardant in pyrotechnics and smoke-producing devices, veterinary medicine (anthelmintic); polymer additive, ingredient in fungicide and insecticide; metal and alloy production","Avlotane; Carbon hexachloride; Carbon trichloride; Caswell No. 479; Distokal; Distopan; Egitol; Ethane hexachloride; Ethylene hexachloride; Falkitol; Fasciolin; 1,1,1,2,2,2-hexachloroethane; Hexachloroethylene; Mottenhexe; NCI-C04604; Perchloroethane; Phenohep",,1.1 E-5,3.9 E-2,3.9 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,"AB-NIOSH, AB-NTP",,,,,,,,,,,,,,,,
"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Hexafluoroacetone,684-16-2,"Organic chemical synthesis; chemical intermediate in production of hexafluoroisopropanol and textile coatings; solvent, polymer adhesive","1,1,1,3,3,3-Hexafluoro-2-propanone; Hexafluoroacetone; Perfluoroacetone; 1,1,1,3,3,3-Hexafluoroacetone; Acetonehexafluoride; Hexafluoropropanone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",6/6/2014,SQE,,,8/1/2008,SQE,,,,,,,,
Hexamethylphosphoramide,680-31-9,Specialty solvent,"Hexamethylphosphoric triamide; Hexametapol; Hexamethylphosphorotriamide; HEMPA; HMPA; HMPT; HMPTA; HPT; Phosphoric tris(dimethylamide); Phosphoryl hexamethyltriamide; Tris(dimethylamino)phosphine oxide; Phosphoric triamide, hexamethyl-; Hexamethylphosphoric acid triamide; N,N,N',N',N"",N""-Hexamethylphosphoric triamide; Hexamethylphosphotriamide; Hexmethylphosphoramide; Hexamethylorthophosphoric triamide; Phosphoric acid hexamethyltriamide; Phosphoric hexamethyltriamide; Tris(dimethylamino)phosphorus oxide; Hexamethylfosforamid; Tri(dimethylamino)phosphineoxide; Tris-(dimethylamid) kyseliny fosforecne; Hexamethyltriamidophosphate; N,N,N',N',N"",N''-Hexamethylphosphorotriamide; N,N,N',N',N"",N'-Hexamethylphosphorotriamide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,Currently listed,Male Reproductive Toxicity,,,,,10/1/1994,AB-US EPA,,,,,,,,
n-Hexane,110-54-3,"Cleaning agent (degreaser), low-temperature thermometer filling; component of solvents (edible oil extraction, adhesives)",Dipropyl; Hexane; Hexyl hydride; NCI-C60571; Skellysolve B,Chronic Reference Exposure Levels,,,,,,,,,,,,,7000,,nervous system,No,,,,,,,,,,,,,,,Currently listed,Male Reproductive Toxicity,,,,,12/15/2017,SQE,,,,,,,,
"2,5-Hexanedione",110-13-4,"Used as a starting reagent in the synthesis of trans-2,5-dimethylpyrrolidine and other pyrroles. It is also described as a “reagent used for the protection of amino groups in amino sugars and nucleosides; for the synthesis of five-membered heterocycles, in particular 2,5-dimethyl aminopyrroles, indane-type and benzannulated systems”.","1,2-Diacetylethane, 	Acetonyl Acetone, 	Diacetonyl, 	2,5-Dioxohexane, 	2,5-Diketohexane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Male Reproductive Toxicity,,,,,12/4/2015,SQE,,,,,,,,
Histrelin Acetate,,Medicine (treatment for prostate cancer and uterine fibroids),5-oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-1-benzyl-D-histidyl-L-leucyl-N5-(diaminomethylene)-L-ornithyl-N-ethyl-L-prolinamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/15/1998,FR,,,,,,,,,,,,
"2,3,3',4,4',5,5'-HpCB",39635-31-9,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,"PCB Congener, PCB 189; 2,3,3',4,4',5,5'-Heptachlorobiphenyl",,1.1 E-3,3.9 E+0,3.9 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3',4,4',5,5'-HxCB",52663-72-6,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,"PCB Congener, PCB 167; 2,3',4,4',5,5'-Hexachlorobyphenyl",,1.1 E-3,3.9 E+0,3.9 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3,3',4,4',5'-HxCB",69782-90-7,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,"PCB Congener, PCB 157; 2,3,3',4,4',5'-Hexachlorobyphenyl",,1.1 E-3,3.9 E+0,3.9 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3,3',4,4',5-HxCB",38380-08-4,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979,"PCB Congener, PCB 156; 2,3,3',4,4',5-Hexachlorobyphenyl",,1.1 E-3,3.9 E+0,3.9 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,3',4,4',5,5'-HxCB",32774-16-6,From items containing PCB; present in some incinerator emissions. US manufacture banned in 1979.,"PCB Congener, PCB 1691,1'-Biphenyl, 3,3',4,4',5,5'-hexachloro-",,1.1 E+0,3.9 E+3,3.9 E+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydramethylnon,67485-29-4,Insecticide,AC 217300; Amdro; EPA Pesticide Code: 118401,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,120 µg/day,2003,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",3/5/1999,AB-US EPA,,,3/5/1999,AB-US EPA,,,,,,,,
Hydrazine,302-01-2,"Precursor to blowing agents, pesticides, pharmaceuticals (antitubercular, antifungals), corrosion inhibitor; aerospace propellant; production of dyes, photographic developer, spandex fibers, explosives, pesticides; reducing agent for many transition metals and some non-metals (arsenic, selenium, tellurium), as well as uranium and plutonium; proposed alternative to hydrogen in fuel cells; component of tobacco smoke",Hydrazine base; Hydrazine anhydrous; Diamine; Diazane; Levoxine,,4.9 E-3,1.7 E+1,3.0 E+0,,,,,,,,,,0.2,,"Alimentary system (liver), endocrine system",No,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Hydrazine sulfate,10034-93-2,"Fungicide, antiseptic, analytical and reducing reagent; production of rocket fuel, antioxidants, acetate fibers, and insecticides; chemical intermediate",Diamidogen sulfate; Diamine Sulfate; HS; Hydrazine dihydrogen sulfate salt; Hydrazine hydrogen sulfate; Hydrazine monosulfate; Hydrazinium(2+) sulfate; NSC-150014,,8.6 E-4,3.0 E+0,3.0 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Hydrazobenzene,122-66-7,"Chemical intermediate in production of dyes and pharmaceuticals; production of hydrogen peroxide; used as antisludging additive in motor oil, de-suckering agent for tobacco plants, reductant in the reclamation of rubber","1,2-Diphenylhydrazine; N,n'-bianiline; N,n'-diphenylhydrazine; (sym)-diphenylhydrazine; DPH; Hydrazobenzene; 1,1'-hydrazodibenzene; NCI-C01854; Symmetrical diphenyl hydrazine",Proposition 65 NSRLs/MADLs,2.5 E-4,8.7 E-1,8.7 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Hydrogen Chloride,7647-01-0,"Production of hydrochloric acid, vinyl chloride, fertilizer, dye, artificial silk, pigment; reagent in industrial chemical transformations, semiconductor etching, electroplating, soap refining, leather tanning; byproduct of combustion",Aqueous hydrogen chloride; Caswell No. 486; Chlorohydric acid; Hydrochloride; Muriatic acid; EPA Pesticide Code: 045901,Chronic Reference Exposure Levels,,,,,2100,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,9,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen cyanamid,420-04-2,"Used in agriculture and the production of pharmaceuticals and other organic compounds. It is also used as an alcohol deterrent drug in Canada, Europe and Japan.","Amidocyanogen, carbamonitrile, carbimide, carbodiimide, cyanoamine, cyanoazane, N-cyanoamine, cyanogenamide, cyanogen amide, cyanogen nitride, diiminomethane, hydrogen cyanamide, methane diimide, Cyanamide, aminomethanenitrile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Cyanide,74-90-8,"Precursor to sodium cyanide and potassium cyanide; chemical warfare agent, fumigant, electroplating; organic chemical synthesis; production of nylon, synthetic fibers, dyes, pesticides; component of vehicle exhaust, wood and tobacco smoke. Naturally occurring in fruits with pit.",AC; AI3-31100-X; Aero Liquid HCN; Caswell No. 483; Cyclon; Evercyn; Formic anammonide; Formonitrile; HCN; Hydrocyanic acid; Prussic acid; Zaclondiscoids; EPA Pesticide Code: 045801,Proposition 65 NSRLs/MADLs,,,,,340,Monkey,Loss of coordination and consciousness due to cellular hypoxia,Central nervous system,Severe,1999,,,9,,"Nervous system, endocrine system, cardiovascular system",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Fluoride,7664-39-3,"Catalyst, reactive solvent; etching glass and enamel; production of refrigerants, herbicides, plastics, and electrical components",Caswell No. 484; Etching acid; HFA; Fluorohydric acid; Fluoric acid; Hydrofluoric acid; Aqueous hydrogen fluoride; EPA Pesticide Code: 45601,Chronic Reference Exposure Levels,,,,,240,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,14 (inhalation); 40 μg/kg BW-day (oral),,"Inhalation: Bone and teeth, respiratory system. Oral: Bone and teeth",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Selenide,7783075,Doping material for semiconductors; synthesis of selenium-containing compounds,Dihydrogen selenide; Hydrogen selenide; Selane; Selenium anhydride; Selenium dihydride; Selenium hydride,Acute Reference Exposure Levels,,,,,5,Guinea pig,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,,,,,Integumentary toxicity (causes hair loss and nail damage),n/a,0.05,n/a,,,2010,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Sulfide,7783064,"Precursor to elemental sulfur, analytical chemistry, precursor to metal sulfides","Dihydrogen monosulfide, Dihydrogen sulfide, Sulfane, Sulfurated hydrogen, Sulfureted hydrogen, Sulfuretted hydrogen, Sulfur hydride, Hydrosulfuric acid, Hydrothionic acid, Sulfhydric acid",Chronic Reference Exposure Levels,,,,,42,Human,"Headache, nausea, physiological responses to odor",central nervous system,Mild,1999,,,10,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Hydroxyanthraquinone,129-43-1,Chemical intermediate in production of dyes and pharmaceuticals,"1-Hydroxy-9,10-anthraquinone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Hydroxyurea,127-07-1,Medicine (antineoplastic),Hydroxycarbamide; Droxia; n-Hydroxyurea; Carbamoylhydroxylamine; Carbamylhydroxamate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/1/1997,FR,,,,,,,,,,,,
Idarubicin Hydrochloride,57852-57-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",8/20/1999,FR,,,8/20/1999,FR,,,,,,,,
Ifosfamide,3778-73-2,Medicine (treatment for cancer),"Isophosphamide; 3-(2-Chloroethyl)-2-[(2-chloroethyl)amino]perhydro-2h-1,3,2-oxazaphosphorineoxide; 3-(2-Chloroethyl)-2-((2-chloroethyl)amino)perhydro-2h-1,3,2-oxazaphosphorine; 3,2-Oxazaphosphorin-2-amine,n,3-bis(2-chloroethyl)tetrahydro-2h-2-oxide; N-3-bis(2-Chloroethyl)-1,3,2-oxazaphosphinan-2-amide-2-oxide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Imazalil,35554-44-0,Fungicide; veterinary medicine (topical antimycotic),"Enilconazole, chloramizole",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Imidacloprid,138261-41-3,systemic insecticide which acts as an insect neurotoxin,"N-{1-[(6-Chloro-3-pyridyl)methyl]-4,5-dihydroimidazol-2-yl}nitramide, Admire, Advantage (Advocate) (flea killer for pets), Confidor, Conguard, Gaucho, Hachikusan, Intercept, InVict, Kohinor, Mallet, Maxforce Quantum, Merit, Nuprid, Optrol, Premise, Prothor, Provado, Turfthor, Temprid (Bayer), Winner, and Xytect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeno(1-2-3-c-d)pyrene,193-39-5,Research chemical; component of gasoline engine exhaust and tobacco smoke,"Indeno(1,2,3-cd)pyrene; Indenopyrene; o-phenylenepyrene; 1,10-(o-phenylene)pyrene; o-phenylenepyrene",,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Indium Phosphide,22398-80-7,"Components in high-power and high frequency electronics, optoelectronics",Indium monophosphide; Indium(III) phosphide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Iodine-131,10043-66-0,"Nuclear energy, medical diagnostic and treatment procedures, natural gas production; nuclear fission product",Radioiodine; Iodine radioisotope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1989,SQE,,,,,,,,,,,,
Iprodione,36734-19-7,Fungicide,"1-iso-Propylcarbamoyl-3-(3,5-dichlorophenyl)hydantoin; (3-(3,5-Dichlorophenyl)-2,4-dioxoimidazolidinyl)-N-(methylethyl)carboxamide; Glycophene; Iprodione metabolite; 1-Imidazolidinecarboxamide, 3-(3,5-dichlorophenyl)-N-(1-methylethyl)-2,4-dioxo-; 3-(3,5-Dichlorophenyl)hydantoin-1-carboxylicacidisopropylamide; Promidione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Iprovalicarb,140923-17-7; 140923-25-7,Agricultural fungicide,1-Methylethyl [(1S)-2-methyl-1-[[[1-(4-methylphenyl)ethyl]amino]carbonyl]propyl]carbamate; Isopropyl 2-methyl-1-{[(RS)-1-p-tolylethyl]carbamoyl}-(S)-propylcarbamate; Fencaramid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
IQ (2-Amino-3-methylimidazo-[4-5-f]quinoline),76180-96-6,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,"IQ; 2-amino-3-methylimidazo(4,5-f)quinoline",Proposition 65 NSRLs/MADLs,4.0 E-4,1.4 E+0,1.4 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Iron Dextran Complex,9004-66-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Isobutyl Nitrite,542-56-3,"Recreational inhalant drug, medicine (component of antidote for cyanide poisoning); chemical intermediate in synthesis of aliphatic nitrites",IBN; NCI-C61052,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
"2,4-D Isooctyl Ester",25168-26-7,Pesticide,"Weedtrine-II; 6-Methylheptyl (2,4-dichlorophenoxy)acetate; Acetic acid, (2,4-dichlorophenoxy)-, isooctyl ester; Isooctyl (2,4-dichlorophenoxy)acetate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Isophorone,78-59-1,Solvent; ingredient in wood preservatives and floor sealants; chemical intermediate,"AI3-00046; Caswell No. 506; Isoacetophorone; Isoforon; Isooctopherone; Isophoron; Alpha-isophoron; Alpha-isophorone; NCI-C55618; 1,1,3-trimethyl-3-cyclohexene-5-one; 3,5,5-trimethyl-2-cyclohexene-1-one; 3,5,5-trimethyl-2-cyclohexenone; EPA Pesticide Code: 047401",Chronic Reference Exposure Levels,,,,,,,,,,,,,2000,,"Development, alimentary system (liver)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoprene,78-79-5,"Production of vehicle tires, styrene-isoprene-styrene block polymers, and butyl rubber","2-Methyl-1,3-butadiene; 2-Methyl-1,3-hexadiene; Acetate buffer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Isopropyl Alcohol,67-63-0,"Rubbing alcohol, antiseptic for hand lotions, rubefacient, dehydrating agent, deicing agent for liquid fuels, synthetic flavoring adjuvant; solvent for gums, oils, creosote, and resins; component of quick drying oils and inks, denaturing alcohol, household products",AI3-01636; Avantine; Caswell No. 507; Dimethylcarbinol; IPA; Isohol; Isopropanol; Lutosol; Petrohol; PRO; N-Propan-2-ol; Propan-2-ol; 2-Propanol; Sec-propyl alcohol; Secondary Propyl alcohol; EPA Pesticide Code: 047501,Chronic Reference Exposure Levels,,,,,3200,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,1999,,,7000,,"Kidney, development",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4-D Isopropyl Ester",94-11-1,Herbicide,"Acetic Acid, (2,4-Dichlorophenoxy)-, Isopropyl ester; Acetic acid, (2,4-Dichlorophenoxy)-, 1-Methylethyl Ester; Amchem weed killer 650; Barber's weed killer (Ester Formulation); Bridgeport spot weed killer; Chemical Insecticide's Isopropyl ester of 2,4-D Liquid concentrate; Crop rider 3.34D; Crop rider 3-34D-2; 2,4-Dichlorophenoxyacetic acid isopropyl ester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Isopyrazam,881685-58-1,Fungicide; not currently registered for use in the US,"3-Difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropyl-1,2,3,4-tetrahydro-1,4-methano-naphthalen-5-yl)-amide; 1H-Pyrazole-4-carboxamide, 3-(difluoromethyl)-1-methyl-N-(1,2,3,4-tetrahydro-9-(1-methylethyl)-1,4-methanonaphthalen-5-yl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Isosafrole,120-58-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,,,,,,,,,,,,,,,,,
Isotretinoin,4759-48-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1987,SQE,,,,,,,,,,,,
Isoxaflutole,141112-29-0,Herbicide,"Methanone, (5-cyclopropyl-4-isoxazolyl)(2-(methylsulfonyl)-4-(trifluoromethyl)phenyl)-; 5-Cyclopropyl-4-(2-methylsulfonyl-4-trifluoromethylbenzoyl) isoxazole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Kresoxim-methyl,143390-89-0,Fungicide,alpha-(Methoxyimino)-2-{(2-methylphenoxy)methyl}-benzeneacetic acid (E)-methyl ester; Methyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Lactofen,77501-63-4,Herbicide,"Benzoic acid, 5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitro-, 2-ethoxy-1-methyl-2-oxoethyl ester; 5-(2-Chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoic acid 2-ethoxy-1-methyl-2-oxoethyl ester; 1'-(Carboethoxy)ethyl 5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrobenzoate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Lasiocarpine,303-34-4,Naturally occurring in the seeds of several plants in the family Boraginaceae,AI3-51770; Heliotridine ester with lasiocarpum and angelic acid; NCI-C01478,Proposition 65 NSRLs/MADLs,2.2 E-3,7.8 E+0,7.8 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Lead Acetate,301-04-2,"Dyeing of textiles, waterproofing, insecticide, anti-fouling paints, men's hair dye; drying agent, analytical reagent","Black marking ink, 105E; Caswell No. 523A; Dibasic lead acetate; Leadac; Lead (2+) acetate; Lead bis(acetate); Lead diacetate; Lead dibasic acetate; Lead(II) ethanoate; Neutral lead acetate; Normal lead acetate; Plumbous acetate; Salt of Saturn; Sugar of lead; Unichem PBA; EPA Pesticide Code: 048001",Proposition 65 NSRLs/MADLs,8.0 E-5,2.8 E-1,2.8 E-1,,,,,,,,,,,,,,"Developmental neurotoxicity (neurobehavioral effects), carcinogenicity, cardiovascular toxicity (high blood pressure)",0.00000003,0.015,0.000002,,,2009,,23 µg/day,,,2001,Currently listed,SQE,,,,,,,,,,,,,,,,
Lead and Lead Compounds,7439-92-1,"Lead is used in batteries, ballast, electrodes, construction materials, glazes, and as a radiation shield. Lead is also a component of tobacco smoke. Lead compounds are used as glazes, pigments, anti-knock additives in aviation fuel, semiconductors, and ammunition.",CI 77575; Lead flake; Lead metal; Pb-S 100; Plubum,,1.2 E-5,4.2 E-2,8.5 E-3,,,,,,,,,,,,,,,,,,,0.0002,,,15 µg/day,,,2001,Currently listed,AB-US EPA,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",2/27/1987,FR,2/27/1987,FR,2/27/1987,FR,1.0 ug/dL blood,Apr-07,,,,,,
Lead Phosphate,7446-27-7,Stabilizing agent in plastics; component of special glasses,CI 77622; CI Pigment White 30; Lead diphosphate; Lead (II) phosphate; Lead(II) phosphate (3:2)Lead orthophosphate; Lead(2+) phosphate; Lead phosphate dibasic; Normal lead orthophosphate; Perlex paste; Plumbous phosphate; Trilead phosphate,,1.2 E-5,4.2 E-2,8.5 E-3,,,,,,,,,,,,,,"Developmental neurotoxicity (neurobehavioral effects), carcinogenicity, cardiovascular toxicity (high blood pressure)",0.00000003,0.015,0.000002,,,2009,,58 µg/day,,,2001,Currently listed,SQE,,,,,,,,,,,,,,,,
Lead Subacetate,1335-32-6,Sugar analysis; clarifying agent for organic substances,Basic lead acetate; BLA; Lead subacetate; bis(acetato)dihydroxytrilead; bis(acetato)tetrahydroxytrilead; Lead monosubacetate; Monobasic lead acetate; Subacetate lead,,1.1 E-5,3.8 E-2,3.8 E-2,,,,,,,,,,,,,,"Developmental neurotoxicity (neurobehavioral effects), carcinogenicity, cardiovascular toxicity (high blood pressure)",0.00000003,0.015,0.000002,,,2009,,41 µg/day,,,2001,Currently listed,LC,,,,,,,,,,,,,,,,
Leather Dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Leuprolide Acetate,74381-53-6,"Medicine (treatment for prostate cancer, endometriosis, uterine fibroids, precocious puberty)",5-Oxo-L-prolyl-L-histidyl-L-tryptophyl-L-seryl-L-tryosyl-D-leucyl-L-leucyl-L-arginyl-N-ethyl-L-prolinam acetate (salt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",8/26/1997,FR,8/26/1997,FR,8/26/1997,FR,,,,,,,,
Levodopa,59-92-7,Medicine (treatment of Parkinson's disease and dopamine-responsive dystonia); endogenous in some plants and animals,"beta-(3,4-Dihydroxyphenyl)-L-alanine; Hydroxytyrosine; H-Tyr(3-hydroxy)-oh; L-beta-(3,4-Dihydroxyphenyl)alanine; L-DOPA; L-DOPA, L-3-hydoxytyrosine; L-3,4-Dihydroxyphenylalanine; (S)-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/29/1999,FR,,,,,,,,,,,,
Levonorgestrel Implants,797-63-7,"Medicine (contraceptives, hormone replacement therapy)","13-Ethyl-17alpha-hydroxy-18,19-dinorpregn-4-en-20-yn-3-one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Female Reproductive Toxicity,,,5/15/1998,FR,,,,,,,,,,
Lindane and other hexachlorocyclohexane isomers,,Insecticide,"1,2,3,4,5,6-hexachlorocyclohexane, Β-hexachlorocyclohexane, Α-hexachlorcyclohexane, Hexachlorocyclohexane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Linuron,330-55-2,Herbicide,"Afalon; Afalon inuron; Cephalon; 3-(3,4-dichloor-fenyl)-1-methoxy-1-methoxymethylurea; n'-(3,4-dichlorophenyl)-n-methoxy-n-methylurea; du Pont Herbicide 326; Garnitan; Linex; Linorox; Linurex; Linuron; Lorex; Malurane; Methoxydiuron; 1-methoxy-1-methyl-3-(3,4-dichlorophenyl)urea; Mudekan; Profalon; Rotalin; Scarclex; Sinuron; Trinulan",Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,Currently listed,Developmental Toxicity,3/19/1999,AB-US EPA,,,,,,,,,,,,
Lithium Carbonate,554-13-2,"Production of ovenware, ceramic glazes, cement, tile adhesives; processing of aluminum; active material of carbon dioxide sensors; medicine (treatment for bipolar disorder)","Dilithium carbonate, Carbonic acid dilithium salt; Carbonic acid lithium salt; Zabuyelite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1991,FR,,,,,,,,,,,,
